,User-id,Tweet
0,sankofa_ltd,"#Equality, #Diversity &amp; #Inclusion In #Legal Services: Project Management, Research, #Marketing &amp; Technology. Call:+44 1159 110111  #BlackLivesMatter https://t.co/FOnTVK46LK"
1,Olabisikh,"@iamrizyyyy @Kitty21katt This is So Wrong.
By The Grace Of Olodumare , Nothing Bad Will Happen To Black African Americans , Black Africans and The African Continent, Amin Ase.
#BlackLivesMatter ."
2,blackdeath360,#BlackLivesMatter https://t.co/GkfBxo1VbK
3,OldMainBell,"ding ding. Ding. ding, ding ding ding! ding &amp; ding ding &amp; DING* #PennState #BlackLivesMatter #JusticeForAll"
4,missmartaaay,"Black people are all ""Black people are NOT a monolith!!! 😡😡🤬😫"" &amp; then They fucking Crucify anyone who doesn't think the same way as a typical black media-fed Liberal. #makeitmakesense #Blacklivesmatter"
5,TheRealChava,@ProfMSinha @CNNOpinion @janegreenway @myHNN @UConnHistory “(The two political parties have long since flipped political and ideological roles.)”?? Here’s Joe Biden lovingly holding hands with KKK Chapter Leader Robert Byrd in October of 2008. #BlackLivesMatter #Biden #WhoYouFooling #MidtermElections2022 #UkraineRussianWar https://t.co/23QQxaNXB1
6,ShimiMontgomery,"Great! But it’s still not enough.   
Elect more women. Better yet, elect more Black and Native American women. If we’re really going to dream, let’s elect Black and Native American women who are health care professionals. #Medicaid #maternalhealth #BlackLivesMatter https://t.co/zSMHGe62iQ"
7,CampusReport,"College Board announced an Advanced Placement African American studies course
 https://t.co/FBtJkVN5fq #tcot #BlackLivesMatter #education #k12 https://t.co/N2x8unHRZt"
8,PrincessBlackL4,"🎶I see no CHANGES, wake up in the morning and I ask myself is life worth livin?…Give crack to the kids, who the hell cares?..The penitentiary’s packed &amp; it’s filled with BLACKS🎶

Interesting - a BLACK man (Tupac Shakur) who told BLACK ppl about themselves =🪦
@antonioguterres"
9,JonitoMartinsJr,@POTUS https://t.co/LY7vYSf3Cz
10,bermudawlw,@RegalRoni Yes!!! Someone had this idea I think and I HAD to write it 😭😭
11,SuperBulletWill,"@Zizidown Me, using PTO on every major release Friday and not having to explain why to anyone in the office. https://t.co/OiBrz3qXkP"
12,stevebartin,(Video) Black Lives Matter https://t.co/Mrz53KED6w @AnnCoulter @Blklivesmatter #BlackLivesMatter
13,Pay69Day,"#AllLivesMatter 
#WhiteLivesMatter
#BlackLivesMatter https://t.co/m4CwGlPpck"
14,JMHUSTLE,#Rap music is a symbol of hate.   Every song is murder #nword #musictobemurderedby.   Mass murder plot #SuperBowlhalftimeshow #BlackLivesMatter https://t.co/Di5Y2RHtK7
15,ElainaCScott,@lewislarosa Incredible!!
16,DenverSDS,"Want to learn more about our campaign to demilitarize the Auraria Campus Police Department? Join us next Thursday October 20th at 4 pm for a teach -in ""A People's History of the Police: Why Demilitarize?"" 
#copsoffcampus
#BlackLivesMatter 
#DefundThePolice https://t.co/CumjOOQrFz"
17,ElainaCScott,@sarahlmadden Congrats!!!
18,uoeno757,#BlackLivesMatter  destroyed so much of America. https://t.co/dkhazEleHp
19,miiiiikala,@MikeGotti__ They was fucking🤣
20,DrLeonJ,@sarajcharles I retched a little watching this! Thank you for taking one for the team!
21,miiiiikala,Ma’am imma need me a piece https://t.co/Eyve7kokOf
22,Dee_wh0,"Me in the morning: why did God give me these battles?!?

The battles: getting dressed and leaving the house🥲 

#isitfridayyet https://t.co/4sDXyE4dOk"
23,KennyL5S5,"Everyone benefits from black peoples efforts to push civil rights. 

When those efforts are dismissed, gaslit and detested case in point #BlackLivesMatter

It enables people in power to abuse everyone’s rights

The conversation is shifting bc it’s slowly happening to y’all too https://t.co/QzD9P8qrrW"
24,PrincessBlackL4,"Hello @antonioguterres There is an old (black ppl) saying: “HURT ppl HURT ppl”. Yes:

It’s been reported🇧🇸has a HIGH rate of INCEST (forced😚) + Single moms make up most households (‘young girls date older men because they’re yearning for a DADDY figure’) = We🤪Say YOU must do x!"
25,AlexRoslin,"US Secret Service employee and driver for Michelle Obama charged with criminal harassment and witness intimidation in connection with a woman he was dating

https://t.co/NYph8H4qIp

#OfficerInvolvedDomesticViolence #OIDV #DomesticViolence #BlackLivesMatter"
26,DonaldsonB33,"just look at many of the tweets from the left in America about Ashli Babbitt, nothing but hate and ignorance about some made up cult for Trump. the same people scream murder and justice for #BlackLivesMatter when someone black is shot by police, when they did something wrong."
27,blacadian,Be sure to check out the latest episode: https://t.co/QpjJEezm1v #BlackLivesMatter https://t.co/LQB9gJ1gtU
28,ElainaCScott,"@inkasrain Ugh, same in our home. Hope you feel better soon!"
29,bermudawlw,"I need to act like I remember this fic so 😭 if you read this don’t worry,,,, I will not abandon this indefinitely 💗

https://t.co/WuEOOauHUt https://t.co/cfH4PC78Fr"
30,ElainaCScott,A biopic about Marie Curie but make her Break Bad
31,say_the_names,Jemel Roberson #BlackLivesMatter
32,ElainaCScott,@EvilGalProds Jesus Christ…that is SO awful!!!
33,BenJMorse,"Aaron Radney is an ultra-talented illustrator focused on non-Eurocentric stories and diverse characters. You can see more of his work by following @aaron_radney and by checking out https://t.co/Nc45dK21tJ. I support what Aaron is doing!
#blacklivesmatter
#blm
#drawingwhileblack https://t.co/j8r1wfXuk5"
34,langu_mabunda,@NMabunda_ Loko mi nga rivali ku hi phonela ke👀
35,CalmAnSensitive,#BlackLivesMatter https://t.co/ksBelbM63t
36,calichicacine,Latinas/os/x don't ever pull this. Jamás. #BlackLivesMatter https://t.co/znJR7RHxbh
37,ElainaCScott,"@flanaganfilm Congratulations, Mike!!! That’s huge!! Especially after the 4 years we’ve all had!!"
38,Frldr,"@amIrighteousnow @PompusBarbarian @Stop_Trump20 # BlackLivesMatter 

Hmm, haw many Black lives (and whose)  did they improve with the 90 000 000 they collected?"
39,WoolwichFrontRm,"Continuing our celebration of Black History Month, Fan The Glory With Tori put on a fantabulous ‘Fan Making Workshop Experience' today.

#blacklivesmatter #blackhistory #BlackHistoryMonth #blackhistorymonth2022 #everyone #create #artist #artwork #partner… https://t.co/v54wX1LEOW https://t.co/9zidqivThC"
40,xoxxxoooxoxxo,DUOLINGO BABY 😍✨ https://t.co/bZLjckQYrs
41,tbasharks,"Mon Jun 01 2020 Chicago, Illinois - CPD chase down protester on TV WATCH: https://t.co/VW4VInMe7n #ChicagoIllinois #CPD #blacklivesmatter #blm #defundthepolice #abolishthepolice"
42,suevisa,"10/12/19950 Police Kill Unarmed Black Man in Brentwood, Pennsylvania, During Traffic Stop

A presumption of guilt and dangerousness makes people of color vulnerable to racial violence, wrongful convictions, &amp; unfair treatment.

#DemVoice1 #BlackLivesMatter
https://t.co/YSeXsLa8vt"
43,claytoonz,Who can the GOP replace Hershel Walker with? #HerschelWalker #Kanye #Ye #Republicans #BlackLivesMatter #WhiteLivesMatter #Georgia https://t.co/VGCirtgmax
